docID,length,text
1,391,"""Labo haween ah ayaa lagu xiray dalka Iran, kadib markii lagu weeraray caanaha Yoghurt, iyaga oo u muuqday kuwa aan timahooda ku qaawiyay meel fagaare ah. Muuqaalkan oo aad u faafay, ayaa waxaa u muujinaya laba dumar ah oo macaamiisha ka mid ah, oo nin Meesha taagnaa uu bilaabay inuu la hadlo. Kadib waxa uu wax u muuqday baaldi ka soo qaaday caano fadhi ah kuwaas oo uu si caro leh madaxa uga shubay. Daawo sida nin uu u weeraray labo haween ah oo iyagoo madax qaawan dukaan ka adeeganayay  Garsoorka dalka Iran ayaa sheegay in labadan haween loo xiray tintooda oo qaawan darteed, taasoo sharci darro ka ah dalka Iran. Ninkan ayaa sidoo kale loo xiray inuu khalkhal gelinayo ammaanka shacabka, ayay raaciyay garsooraha. Xariga ayaa daba socda mudaaharaadyo bilo ah ka socday dalkaasi oo lagu dalbanayay in la joojiyo xirashada qasabka ah ee xijaabka. Muuqaalka ayaa muujinaya haweenka dukaanka ku jira oo sugaya in uu u adeego xubin ka mid ah shaqaalaha. Nin u muuqda inuu meesha marayo ayaa soo galay waxa uuna bilaabay inuu haweenka la hadlo. Wax yar ka dibna waxa uu bilaabay inuu caano fadhi ah ku weeraro. Ninka weerarka geystay ayaa waxaa ka dib dukaanka ka soo saaray dukaanlihii.Wakaalladda Wararka ee Mizan ee Garsoorka dalka ayaa sheegtay in amarro lagu soo xirayo la soo saaray 3-daasi qofna hadda xiray. Waxay intaa ku dartay in """"ogaysiisyada lagama maarmaanka ah"""" la siiyay mulkiilaha dukaanka si loo hubiyo u hoggaansanaanta sharciga. In aan xijaabka lagu xirin meel fagaare ah ayaa sharci darro ku ah dumarka Iran, si kastaba ha ahaatee magaalooyinka waaweyn, qaar badan oo ka mid ah ayaa wareegaya xijaab la'aan inkasta oo sharcigaas la soo saaray. Carada iyo niyad-jabka sharcigaas ka dhalatay ayaa horseedday inay qaar ka mid ah bulshada gaashaanka u daruuraan sharciga. Mudaaharaadyada ayaa ku fiday guud ahaan Jamhuuriyadda Islaamiga ah bishii Sebtembar ka dib dhimashadii Mahsa Amini, oo ahayd haweeney 22 jir ah oo ay xireen booliska akhlaaqda ee Tehran ka dib markii lagu eedeeyay “inaysan si ah u xiran xijaabka”. Mudaaharaadyadu way sii bateen, kumanaan qof ayaa la xiray, afar mudaaharaadayaal ah ayaa la toogtay tan iyo bishii December. Mid ka mid ah mudanayaasha mayalka adag ee Iran, Xuseen Cali Haji Deligani, ayaa soo saaray digniin ku socota garsoorka inay la yimaadaan tillaabooyin lagu joojinayo ku xadgudubka xeerarka muddo 48 saacadood ee soo socda. Sabtidiina, madaxweynaha Iran Ebrahim Raisi waxa uu ku celiyay in haweenka Iran ay xidhaan xijaabka taas oo ah “baahi diineed”"""
2,172,"20 jir sameeyay shirkad muddo kooban ku gaartay bilyan dollar Waxa uu si fudud u fahmay sirta ganacsiga casriga ah: Xal u hel dhibaatooyinka taagan. Aadit Palicha oo Hindi ah ayaa muddo kooban ku gaaray guul ganacsi oo ka yaabisay dad badan. Aadit Palicha iyo saaxiibkii Kaivalya Vohra ayaa bartamihii 2021 sameeyay shirkad khudaarta dadka ugu geysa guryaha oo lagu magacaabo Zepto. Waxa ay ballanqaadeen in adeegooda uu muddo 10 daqiiqo ah ku geynayo khudaar kasta oo looga baahdo. Shirkadda Zepto oo haatan qiimaheedu ku dhaw yahay hal bilyan oo dollar ayaa lagu tilmaamay tan ugu kobaca ballaaran guud ahaan Hindiya. Palicha iyo saaxiibkii Vohra ayaa intii uu socday Covid-19 billaabay inay ka baaraandegaan qorshe ganacsi. Waxa ay ku noolaayeen magaalada Mumbai ee Hindiya. “Maadaama xayiraad la soo rogay Covid-19 awgii, waxaa dadka ku adkaaday inay helaan waxyaabaha daruuriga ah. Inta badan dukaamaha caadiga ah ayaa xirnaa, halka kuwa online-ka ah ay maalmo ku qaadan jirtay inay adeegga geeyaan guryaha,” ayuu Palicha u sheegay BBC-da. Waxa uu sheegay in isaga iyo saaxiibkii marka ay arkeen dhibaatada taagan ay uga dhex muuqatay fursad ganacsi. "
3,125,"Waa kuma ninka ugu taajirsan adduunka ee hadda booska ka qaatay Elon Musk? Elon Musk ayaa lagala wareegay booska ugu sarreeya ee liiska dadka ugu hantida badan caalamka ka dib markii uu sanadkan hoos u dhac weyn ka sameeyay saamiga uu ku leeyahay shirkadda soo saarta gawaarida korontada ku shaqeeya ee Tesla. Sida lagu muujiyay xogta Majalladaha ka faallooda dhaqaalaha ee Forbes iyo Bloomberg labadaba, Mr Musk waxaa booska ka qaatay nin kale oo lagu magacaabo ernard Arnault, oo ah madaxa shirkadda hantida qaaliga ah iibisa ee LVMH. Elon Musk qudhiisu waa madaxa shirkadda Tesla ahna qofka saamiga ugu weyn ku leh dhaqaalaha shirkaddaas. Waxaa lasoo tebiyay in saamigiisu uu yahay qiyaastii 14%. Bishii October ayuu dhammeystiray heshiis uu kula wareegay shirkadda Baraha Bulshada ee Twitter, taas oo u uku iibsaday lacag dhan $44 bilyan oo doolar. "
4,183,"Saddexda magac ee sida weyn u qabsaday suuqa kala iibsiga ciyaartoyda oo maanta xirmaya Suuqa kala iibsiga ciyaartoyda ee Premier League wuxuu xirmayaa maanta oo Talaadado ah marka ay saacaddu ku beegan tahay  caawa 23:00 GMT - waxaana jira heshiisyo suurtagal ah oo la filayo kuwaas oo sii kordhin kara lacagta rikoorka ah ee horay loo bixiyay. Ilaa £550m ayaa la kharash gareeyay bishan, taasoo jabisay rikoorkii 2018 ee ahaa £430m. Xilliga kama dambaysta ah ee Horyaalka Kubadda Cagta Ingiriiska uu ku eg yahay in ciyaartoy lasoo iibsado sidoo kale waa 23:00, halka Scotland ay tahay 23:59. Horyaalka Bundesliga ee Jarmalka wuxuu xirmi doonaa 17:00, Serie A-da Talyaaniga 19:00, Horyaalka Spain ee La Liga 23:00 iyo Ligue 1 France oo albaabada la isugu dhufan doono 11:59 – halkaas oo uu kusoo gabagaboobayo suuqii January 2023. Rikoorka suuqa kala iibsiga ee Ingiriiska ayaa la jabin karaa maalinta ugu dambeysa suuqa kala iibsiga ee Janaayo, taasoo noqoneysa markii ugu horeysay oo ay sidaas dhacdo tan iyo sanadkii 2011 markaas oo kooxda Chelsea ay 50 milyan ginni kula soo wareegtay xiddigii hore ee Liverpool, Fernando Torres."
5,199,"M﻿axay Fifa ku haysataa dalka lagu qabanayo Koobka Adduunka ee Qadar? Madaxwaynihii hore ee Fifa Sepp Blatter ayaa sheegay in go’aankii lagu gudoonsiiyay qabashada koobka aduunka 2022 Qatar uu ahaa mid “khalad” ah. Blatter, oo 86 jir ah, ayaa ahaa madaxweynaha ururka xidhiidhka kubbadda cagta adduunka markii Qatar la guddoonsiiyay tartanka 2010-kii. Waddankan Khaliijka ah ayaa lagu dhaleeceeyay mowqifkooda ku aaddan xidhiidhka dhexmara dadka isku jinsiga ah, heerka xuquuqda aadanaha iyo hab la dhaqanka shaqaalaha muhaajiriinta ah. ""Waa dal aad u yar, kubbadda cagta iyo Koobka Adduunka ayaa aad ugu weyn,"" ayuu u sheegay wargeyska Swiss Tages Anzeiger. Koobka Adduunka ee Qatar, oo ah kii ugu horreeyay ee lagu qabto Bariga Dhexe taariikhda tartankan oo jira 92-sano, iyo kii ugu horreeyay inta lagu jiro xilliga jiilaalka ee ay ku jiraan dalalka dhaca Waqooyiga Hemisphere, wuxuu dhacayaa 20 November ilaa 18 December. Blatter waxa uu sheegay in Fifa ay wax ka beddeshay shuruudihii lagu soo xuli jirey dalalka martigelinaya koobkaas sannadkii 2012-kii, kaddib markii walaac laga muujiyay sida loola dhaqmay shaqaalaha ajnabiga ah ee waddankaas kala shaqynayey dhismayaasha garoommada lagu ciyaari doono Koobka Adduunka ee Qatar. “Tan iyo markaas, tixgelinta bulshada iyo xuquuqul insaanka ayaa noqday qodobka u weyn ee la tixgelinayo,"" ayuu raaciyay."
6,157,"Sidee ayay ku dhacday in 14 milyan oo doolar lagu dhaco 2 saacadood gudohood? Bal qiyaas in adigoo Hindian ah oo ah shaqaale mushahar yar ka qaata shaqo maalinla ah doorkaagana yahay inaad tagto bangiga qeybta lacag caddaanka ah oo aad oo aad lacag ka soo bixiso. Sannadkii 2018, rag dhowr ah oo ku nool gobolka Maharashtra ayaa waxaa doorkooda laga dhigay inay lacagaha caddaanka ah ka soo qaadaan bangiga qeybta ATM-ka balse dhab ahaantii waa la siray. Weerarku wuxuu dhacay dabayaaqadii bishii Agoosto ee sannadkii 2018, waxaana udub dhexaad u ahaa bangiga Cosmos Co-operative, xaruntiisa Pune. Galab sabti ah ayay shaqaalaha xafiiska dhexe ee bangiga si lama filaan ah u heleen fariimo cabsi leh oo xiriirsan. Waxay farriimaha ka socdeen shirkadda kaarar bixinta Visa ee Mareykanka, iyagoo ka digaya inay arki karaan dalabaadyo kumanaan gaaraya oo la xiriira bixinta lacag caddaan ah oo badan oo lagala baxay ATM-yada – iyadoo sida muuqatana ay isticmaalayaan kaararka Cosmos Bank. "
7,174,"Muxuu ahaa Masaajidka laga dhisay Masar ee dad badan ka careysiiyay? Masar ayaa masaajid taariikhi ah ka furtay caasimadda cusub ee dalkaasi uu yeelanayo, balse waxaa si weyn loogu dhaliilay kharashka ku baxaya masaajidkaasi. Dawladdu waxay magaalo cusub ka dhisaysay saxaraha, taasi oo qeyb ka ah qorshaha ay dadka kaga rareyso magaalada Qaahira oo uu ciriiri badan oo dhanka dadka ah ka jiro. Balse masaajidka iyo xarunta cusub ee xarigga laga jaray ayaa waxaa qaar badan oo ka mid ah dadka baraha bulshada ay u soo jeediyeen dhaliil. Waxay ku soo beegantay xilli Masar ay la daalaa dhaceyso sicir barar baahsan, iyadoo sicir-bararka uu bishii March ka sara maray 30%. Caasimadda cusub ee Masar ayaa laga dhisay meel 45 km (28 mayl) bari ka xigta magaalada Qaahira. Xarunta cusub ee Dhaqanka Islaamka waxaa kale oo ka mid ah Masjidka weyn oo ku fadhiya dhul dhan 19,000 mitir oo isku wareeg ah islamarkana qaada 107,000 oo qof. Masjidka waxaa ku baxay lacag dhan 800 million oo ah lacagta Masar taasi oo u dhiganta £21 milyan oo ah lacagta Ingiriiska, waana masjidka labaad ee ugu weyn caalamka. "
8,132,"Waa tee kooxda sugeysa in uu Ronaldo kusoo biiro ka hor dhammaadka Sanadkan? Kooxda ka dhisan dalka Sucuudiga ee Al -Nasar ayaa ku rajo weyn in uu kusoo biiro weeraryahanka 37-ka ah ee u dhashay Bortuqiiska Cristiano Ronaldo ka hor dhammaadka sanadkan. Haddii Ronaldo uu ku biiro kooxdaas wuxuu la saeexaan karaa heshiis laba iyo bar sana ah kaasoo qiimahiisu uu ku kici karo £174m lacagta giniga ah- (Marca - in Spanish) Weeraryahanka reer Brazil iyo kooxda Arsenal Gabriel Martinelli oo 21 jir ah ayaa lagu wadaa in kooxdiisa uu la galo heshiis uu toddobaadkii ku qaadanayo £200,000 gini- (Mail). Kooxda heysta horyaalka Faransiiska Paris St-Germain ayaa dooneysaa in kooxda uu sii joogo gool-dhaliyaha u dhashay Argentina Lionel Messi, ninkan oo haatan ku guuleystay Koobka Adduunka wuxuu qaddaraaskii ku eegaa xilli ciyaareedka dambe"
9,111,"Guusha aan taajirka ku noqday waxay ka billaabatay fiisa la isiiyay Waa markale iyo taxanihii qormooyinka BBC-da ee The Boss ee aan kaga hadlaynay dadka guulaha ka gaaray xagga ganacsiga, waxaanan todobaadkan kusoo qaadanaynaa ninka lagu magacaabo Vik Verma oo ka mid ah dadka tagay Maraykanka.  Waa arrin ay adagtahay maanta in Maraykanka lagu arko qof sida Vik oo kale oo guulahan gaaray, gaar ahaan xilli shuruucda muhaajiriinta ay sii adkaanayaan.  Sannadkii 1984-tii oo uu Vik 18 jir ahaa ayuu damcay in uu jaamacad u aado dalka Maraykanka, isaga oo xiligaas ku sugnaa dalkiisii Hindiya. Wuxuu fiiso ka doontay qunsuliyadda Maraykanka ee magaala Kolkota, balse nasiib darro waa loo diiday fiisihii. "
10,115,"Nin malaayiin ka sameeyay dhagxaan uu dadka uga dhigay nooleyaal Ninka lagu magacaabo Gary Dahl ayaa malaayiin doollar ka sameeyay dhagxaan uu dadka uga dhigay nooleyaal ay rabaayadaysan karaan, kuwaas oo aanan wax dhibaato ah ku haynin.  ""Cunto uma baahna, kama walwalaysid,"" ayuu ku qoray waraaqaha xayaysiinta dhagxaanta oo uu kasoo daabulay xeebaha dalka Mexico.  Halkii dhagax wuxuu dadka ka iibinayay $3.95 (oo maanta u dhiganta $15 ), waxaana laga iibsaday illaa 5 milyan oo dhagxaantaas ah.  Wuxuu ku ridey baakado, wuxuuna ku qorey ""waxa ay aad ugu wanaagsanyihiin in la tabobaro, waxay iska dhigi karaan in ay dhinteen oo kale, waxay jecelyihiin in ay safraan iyaga oo ku jira jeebabkaaga""."
